Destino,Hotel_Nombre,Hotel_Highlight,Staff_Valor,Promo_Vigente,Imagen_URL
San Pedro,Hotel de Turismo - La Rueda,Pileta climatizada y amplios parques con inflables.,Profesores de Ed. Física y Recreólogos permanentes.,¡Descuento en tu Buzo de Egresados!,https://images.unsplash.com/photo-1566073771259-6a8506099945
Villa Carlos Paz,Hotel Parque / Capilla del Lago,Habitaciones con sommier y exclusividad total Serrano.,Directivos en el destino y personal especializado.,¡Liberados para el grupo confirmando este mes!,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b
